handover_success_rate,ABS_QoS_DRB,ULDelay_gNBDU_Cell,DLDelay_gNBDU_Cell
0.972863973,4,0.551160748,0.413117993
0.964989594,2,0.955098801,0.667962302
0.963627831,1,0.491311298,0.254448383
0.965729185,4,0.827418143,0.736290393
0.982062533,3,0.976551404,0.667707526
0.985744976,4,0.833515823,0.78882858
0.988491999,1,0.401625881,0.421712614
0.978951272,2,0.837422156,0.730956077
0.980204352,1,0.84495715,0.679786811
0.989193103,3,0.838858269,0.430696282
0.977581914,3,0.670638369,0.521475042
0.974556619,1,0.553890961,0.244856749
0.984476751,0,0.119626533,0.430616371
0.985684252,4,0.683753467,0.768753252
0.983857877,2,0.320516107,0.681566252
0.974896264,2,0.265737682,0.444737813
0.989681039,2,0.387790359,0.861792467
0.985131365,1,0.819291912,0.939248052
0.98926115,2,0.282793821,0.799446036
0.968214595,1,0.764689809,0.591482803
0.964959309,4,0.979854385,0.371087032
0.982781932,3,0.629858973,0.067358781
0.97590377,3,0.813216485,0.18392386
0.962426577,0,0.917987199,0.575768802
0.984091069,4,0.40699726,0.626188627
0.983923851,3,0.66591054,0.819889613
0.964876285,3,0.600967087,0.830090911
0.984828661,2,0.561323188,0.349866429
0.966460093,3,0.591149365,0.649610496
0.865092262,1,0.460865483,0.497543298
0.879977927,2,0.667765001,0.746954025
0.887408533,4,0.745131322,0.094429755
0.826835307,0,0.272894008,0.727488309
0.80291917,1,0.309559412,0.703128652
0.839110908,2,0.605535923,0.694639665
0.807186936,2,0.510925152,0.538823708
0.80594735,1,0.116354563,0.711845222
0.916655349,1,0.781578073,0.203915565
0.813679736,0,0.392431139,0.658491761
0.912291775,1,0.89600715,0.571351786
0.916147964,1,0.510498459,0.711477971
0.862854148,4,0.810047154,0.928136955
0.936907133,0,0.431501645,0.805000991
0.981793668,4,0.331059492,0.48202172
0.985401672,1,0.812173979,0.723415789
0.965149256,2,0.720958442,0.264812022
0.973489958,4,0.332234984,0.282799137
0.961997507,4,0.649033582,0.328115648
0.965937975,4,0.743684291,0.62898172
0.964350668,3,0.497899756,0.366288672
0.985479901,1,0.75943549,0.905739317
0.963264904,3,0.675541088,0.403034833
0.977870264,4,0.805448902,0.36161912
0.987684223,1,0.467159317,0.219759823
0.989691485,2,0.732603939,0.441787348
0.980284991,2,0.425375293,0.791487001
0.96315375,4,0.230811468,0.780399925
0.975471585,3,0.445673403,0.409741551
0.989350881,4,0.294831767,0.68473852
0.968625138,3,0.508515627,0.388599513
0.962210164,1,0.198489324,0.463897806
0.985512607,2,0.613939469,0.571809809
0.988431236,2,0.44516798,0.687453538
0.988092771,0,0.317682144,0.558319063
0.975296522,3,0.527703399,0.555941619
0.96809447,3,0.609775467,0.619572026
0.961549336,2,0.354755329,0.77274995
0.9753854,1,0.668598169,0.218051523
0.981660542,2,0.414892092,0.828207348
0.9788415,3,0.255557132,0.733248921
0.964402243,3,0.386260436,0.13334745
0.971412755,1,0.437562635,0.843556471
0.985175121,3,0.708008,0.954466447
0.989085574,4,0.280736236,0.550574059
0.975451859,3,0.219677732,0.727145204
0.989184569,4,0.257907827,0.685394521
0.983034985,0,0.744220993,0.876835881
0.843422299,2,0.590898609,0.903825681
0.850630046,1,0.56378424,0.719338101
0.876665605,0,0.922391302,0.890538754
0.849318954,0,0.662905964,0.687361016
0.882923564,3,0.868783212,0.415490572
0.8531157,2,0.238613137,0.326459227
0.864488296,4,0.374449063,0.610796264
0.918806503,3,0.620804435,0.468295874
0.840502019,1,0.347684974,0.757101775
0.865849388,4,0.421558453,0.945628733
0.877292986,3,0.678825647,0.745255472
0.934816304,1,0.770605633,0.719766477
0.836106919,2,0.596894873,0.525188619
0.858264995,4,0.481828261,0.463710858
0.862337803,3,0.962472295,0.549169493
0.810414475,3,0.727715313,0.841781231
0.829669889,0,0.921526444,0.30668115
0.854731666,1,0.79706035,0.760842818
0.86086169,1,0.616869227,0.587981656
0.916454043,1,0.443738937,0.811279266
0.840849265,1,0.58465201,0.031498551
0.968612302,1,0.888800178,0.538698755
0.974890643,3,0.543606474,0.321419523
0.982457169,3,0.814801051,0.382260843
0.977455812,0,0.232188792,0.610133361
0.984416798,2,0.864106392,0.625039788
0.973718882,2,0.964675229,0.864996956
0.981929423,4,0.745322847,0.577103448
0.975127257,4,0.760263145,0.243989405
0.979801678,4,0.63365833,0.545162121
0.961553339,4,0.719209124,0.206935534
0.980026684,3,0.568672499,0.521110233
0.974629367,2,0.561602972,0.952185154
0.973129564,0,0.767006301,0.881782215
0.980567351,1,0.865216026,0.851681388
0.975341873,3,0.83072243,0.533574565
0.989265548,2,0.286322276,0.598411817
0.988058484,4,0.559869326,0.613361856
0.966449227,3,0.511782094,0.660249576
0.98043756,2,0.858350109,0.545118565
0.985643337,1,0.59818786,0.362985825
0.979032404,3,0.29266797,0.500708081
0.963083606,2,0.590537417,0.738653632
0.979206533,4,0.818418741,0.250032721
0.978853783,4,0.364648313,0.548854562
0.970055993,1,0.723961722,0.490258706
0.975030739,4,0.783922767,0.557546855
0.982967289,2,0.403361835,0.542519794
0.986823251,3,0.528903358,0.913678928
0.962906027,2,0.498085695,0.744950828
0.98500257,1,0.604277055,0.684265892
0.98664468,4,0.675683678,0.521389438
0.984776468,3,0.61184499,0.592927743
0.980729842,3,0.691628863,0.777647978
0.968740618,1,0.753330036,0.266664349
0.819734972,2,0.893484044,0.523713588
0.876089014,3,0.476061822,0.664272432
0.827143242,2,0.487261301,0.896430419
0.916935747,1,0.379137782,0.692995663
0.83222941,2,0.701611707,0.626663568
0.927829127,3,0.677417158,0.762082821
0.902281123,3,0.907666353,0.719710357
0.937947504,0,0.922923137,0.727316962
0.838028398,1,0.941997378,0.931479316
0.894956518,2,0.45894062,0.582942254
0.846373408,2,0.467255666,0.617653371
0.933941303,3,0.681027103,0.840413419
0.900504412,1,0.465634373,0.879233214
0.86080336,1,0.291670877,0.050814192
0.851290548,3,0.726185915,0.878452515
0.864726416,0,0.811846245,0.430001646
0.888655796,2,0.822302415,0.765657192
0.830892989,2,0.819873928,0.555730661
0.814799671,0,0.266999315,0.521102044
0.915359692,1,0.618236769,0.75080945
0.830071623,1,0.604939744,0.539596395
0.983911956,3,0.759758879,0.10836716
0.984472977,4,0.630033924,0.308670224
0.976264163,3,0.850745153,0.95326394
0.984302066,3,0.121964186,0.816927727
0.983953064,1,0.641643524,0.513961173
0.980684698,1,0.779952039,0.465615196
0.981993255,3,0.023457894,0.599806881
0.983777589,4,0.599876611,0.450378296
0.960996669,4,0.456005801,0.933638129
0.968611215,2,0.696004517,0.319378942
0.989867957,3,0.484963881,0.493232268
0.960443394,2,0.761922282,0.976436667
0.967390186,0,0.541200304,0.351325547
0.96167685,2,0.69542652,0.307469637
0.963535118,0,0.829014143,0.497189409
0.97141241,4,0.648029661,0.350966659
0.966236305,3,0.594218428,0.765521733
0.96411267,4,0.649552372,0.339642072
0.982504293,4,0.757361774,0.260670998
0.989374021,3,0.819222723,0.971646994
0.985569481,3,0.551487369,0.511619972
0.986828111,2,0.558613265,0.631340637
0.980500312,2,0.872410096,0.841329978
0.975494924,2,0.094166455,0.326882455
0.980592852,0,0.88552569,0.760787593
0.986757069,1,0.60461435,0.681230808
0.970127453,1,0.648616126,0.693504034
0.961772539,4,0.504877365,0.707472935
0.981336836,2,0.827667841,0.572406823
0.966194208,0,0.827265239,0.724744629
0.965240627,3,0.827775326,0.746313985
0.984608552,1,0.919824845,0.382596266
0.96729346,3,0.814375235,0.449856414
0.982843286,1,0.651014162,0.762355835
0.978634848,4,0.979164795,0.54902348
0.984702018,0,0.518617119,0.848036049
0.98171401,1,0.076511757,0.429087476
0.968177814,2,0.750693505,0.957477323
0.972133169,4,0.821000213,0.203727892
0.986689892,1,0.90647368,0.840669958
0.964444693,4,0.27496047,0.546041243
0.97772658,3,0.825369475,0.946423254
0.964254664,1,0.618436385,0.663397084
0.851207679,2,0.856986397,0.671167073
0.82839879,3,0.427250924,0.664092721
0.89885626,1,0.872829374,0.550837401
0.815663005,4,0.711360685,0.169652031
0.916428314,1,0.144772554,0.772262333
0.922216278,4,0.81057135,0.654509947
0.832224755,1,0.529968803,0.850190015
0.910792387,0,0.586980673,0.65450068
0.830036681,3,0.85297446,0.938690657
0.81870432,1,0.824141724,0.998305835
0.876820883,3,0.47040957,0.736868368
0.940874105,3,0.578780619,0.893231099
0.824478144,2,0.676182638,0.542094103
0.871294006,0,0.555972668,0.90556281
0.940319061,1,0.514078956,0.793348936
0.838457149,1,0.109891472,0.455467478
0.857342239,1,0.855936445,0.164717039
0.850752421,2,0.950918327,0.958207899
0.841826461,0,0.857446358,0.248693637
0.862399079,1,0.82546666,0.718014975
0.926336995,2,0.102497577,0.445946049
0.905915184,3,0.350086755,0.589359196
0.911952957,3,0.947256992,0.694529049
0.900711374,2,0.485551263,0.998484209
0.818785339,0,0.526776528,0.159833301
0.812153683,3,0.618870544,0.892984993
0.877174347,2,0.930852706,0.978625093
0.977194255,2,0.264842931,0.513496937
0.972274288,0,0.724052014,0.440720913
0.961014735,0,0.47796304,0.085902584
0.96174929,4,0.715687875,0.540966884
0.985949869,2,0.861303117,0.515005465
0.960647546,0,0.071881951,0.7228654
0.963768678,3,0.411392281,0.372766428
0.986998188,2,0.423808407,0.480100579
0.988355337,4,0.712138168,0.403853308
0.974136594,3,0.932427884,0.624505295
0.986826975,3,0.567846476,0.84000572
0.967618101,3,0.386445504,0.811078489
0.970089282,2,0.479807056,0.687782112
0.985065234,1,0.22722078,0.590478098
0.981037868,1,0.923872406,0.397578076
0.983874154,3,0.159016251,0.903804637
0.978952723,2,0.972140767,0.306873738
0.975531904,2,0.837181413,0.868957143
0.981690974,3,0.663602846,0.389035853
0.978230231,1,0.507519241,0.552853689
0.972047415,2,0.744042851,0.74482017
0.967733148,2,0.332001817,0.795652466
0.986687013,3,0.451506562,0.959784943
0.970109445,1,0.620937893,0.367683392
0.962813386,0,0.499597681,0.311750875
0.963330287,2,0.467902363,0.663062955
0.989099402,1,0.816335428,0.837453718
0.978230589,2,0.909631121,0.369376252
0.964257577,4,0.761114569,0.587074126
0.985276295,3,0.642281433,0.811937387
0.968916856,2,0.46409473,0.564373786
0.974196691,1,0.544662212,0.672416195
0.967205331,2,0.628199286,0.473395859
0.975345482,2,0.652346969,0.502986477
0.981748403,2,0.974168633,0.971808341
0.962679656,2,0.794797794,0.484586146
0.977113272,3,0.584519001,0.731244649
0.96657635,2,0.253120862,0.850926699
0.979931218,1,0.709593705,0.843737886
0.960389205,2,0.544793909,0.696682876
0.96963435,1,0.586801942,0.783136582
0.986759652,4,0.924034381,0.516604931
0.968136374,2,0.709021675,0.503462058
0.978056819,1,0.803001615,0.059019938
0.984316387,2,0.65609649,0.36425803
0.960011699,0,0.689358007,0.722951507
0.983090612,4,0.728224693,0.757283967
0.975649985,4,0.318433431,0.346120002
0.97278311,4,0.796184195,0.539607866
0.972189938,4,0.175584079,0.817728043
0.913157177,0,0.237299867,0.931701198
0.94939129,1,0.596404692,0.638639687
0.904778452,1,0.764698802,0.658384857
0.965311404,1,0.927391945,0.805361481
0.961115243,0,0.643919786,0.314731393
0.983308316,1,0.341313911,0.409686423
0.962303786,0,0.692633134,0.709346862
0.983183392,1,0.584535279,0.556718102
0.989795166,2,0.549028398,0.817355055
0.968866471,2,0.947470955,0.875042118
0.974474915,4,0.681978995,0.608896157
0.974771874,1,0.923844274,0.621064873
0.976415456,2,0.237716151,0.598909495
0.979623698,2,0.365297726,0.61565117
0.973945196,1,0.514395418,0.196195137
0.967137246,2,0.04717102,0.386669273
0.98508254,4,0.792930532,0.982166895
0.962281847,3,0.762657127,0.991956235
0.902070529,2,0.470255161,0.586240648
0.866049137,4,0.528958645,0.745781524
0.820023389,1,0.629177271,0.40236383
0.913269549,1,0.448569726,0.758163089
0.825254131,0,0.544720695,0.100413123
0.939356496,1,0.624374066,0.205055783
0.91067562,4,0.293453107,0.252330753
0.85339691,4,0.657707694,0.315925538
0.834978376,3,0.647786027,0.640133209
0.84590896,1,0.973975706,0.193355524
0.800123434,4,0.56147814,0.766024387
0.908250807,1,0.922425889,0.917338202
0.860622435,3,0.446412508,0.55524701
0.823002222,3,0.719745798,0.824331027
0.805036964,4,0.528387458,0.800201919
0.98830578,4,0.560024203,0.772798382
0.9815491,4,0.565992847,0.435812527
0.97601088,4,0.698663385,0.689911547
0.977676804,3,0.35686048,0.71592451
0.960421331,4,0.39684925,0.802279312
0.982824682,4,0.627504643,0.447037531
0.984690234,1,0.601272462,0.495383154
0.968873184,2,0.756637431,0.646242018
0.97571213,0,0.520789738,0.696891838
0.970722769,3,0.942281044,0.834441511
0.975154576,0,0.113615867,0.672117889
0.98559331,4,0.685489193,0.397282225
0.983113351,3,0.270090511,0.561783489
0.969441372,3,0.641012007,0.731611132
0.980477688,2,0.604907738,0.398596335
0.98872259,2,0.621320785,0.780343555
0.97678391,2,0.187896661,0.579703254
0.975471959,1,0.458637596,0.49788242
0.965181175,4,0.91875883,0.277238033
0.972814923,2,0.966767317,0.611550314
0.964493464,1,0.794684328,0.58833077
0.980013471,1,0.647013601,0.637794957
0.964424483,4,0.763559654,0.818920616
0.983832193,1,0.519060748,0.851270849
0.987245695,4,0.650479584,0.539786405
0.974376682,1,0.516115161,0.757879911
0.977604076,3,0.459654,0.474031505
0.980745952,2,0.568311756,0.382575096
0.988901583,0,0.202369253,0.793482352
0.975819754,1,0.355999765,0.313930639
0.969409514,1,0.630821841,0.456777602
0.989295276,0,0.576356323,0.83183674
0.978799763,3,0.624707309,0.431987089
0.964518092,0,0.991624757,0.164031391
0.978645416,4,0.738168167,0.889705146
0.961900941,4,0.622022739,0.999591647
0.960668698,2,0.501313455,0.848605977
0.989741674,0,0.314220362,0.525270234
0.986228162,1,0.546950962,0.1238992
0.976978122,2,0.369247875,0.486240715
0.964036331,4,0.686818947,0.742528525
0.908382327,4,0.371932067,0.789647406
0.948557912,1,0.6323212,0.361565633
0.852185579,0,0.26171206,0.299379821
0.947468822,1,0.453583237,0.76735082
0.922355058,2,0.602746831,0.877341435
0.886259088,4,0.343706162,0.76534848
0.891187494,0,0.14252003,0.941663931
0.859668358,1,0.77574971,0.674138762
0.906320765,3,0.347798426,0.39707691
0.816470103,3,0.483407934,0.786482386
0.906317871,3,0.351837615,0.612304573
0.883118138,0,0.932544101,0.282654431
0.81384325,2,0.756793753,0.588492032
0.861605471,0,0.193163013,0.712737077
0.830099177,4,0.960108444,0.750970156
0.978589516,1,0.225864742,0.627320742
0.978910236,2,0.193252127,0.621005542
0.966843782,1,0.547425613,0.219704304
0.981671168,3,0.567175254,0.761006508
0.985654341,4,0.517658362,0.240834768
0.987306997,3,0.825596159,0.344731909
0.983919845,3,0.959845233,0.510002819
0.981807961,4,0.706447045,0.55290702
0.982244965,3,0.623855741,0.848190733
0.97620477,3,0.375411698,0.497471408
0.988338633,4,0.826460373,0.257448447
0.978536868,1,0.742971165,0.70445482
0.965950887,2,0.635772042,0.748891631
0.988524601,0,0.660343619,0.856184669
0.97467587,3,0.574909277,0.493873304
0.987398531,3,0.506169443,0.598405943
0.977314002,3,0.132469854,0.501852866
0.978128678,2,0.804772181,0.366608842
0.970788137,2,0.148877935,0.268284874
0.968795904,1,0.619360674,0.838100163
0.973418118,1,0.524607611,0.822622906
0.97389672,4,0.799628204,0.745894122
0.976975035,4,0.24782061,0.38594292
0.986793074,1,0.894788481,0.887910336
0.988657196,4,0.292742561,0.391547596
0.976777428,4,0.787691956,0.158898264
0.968993043,1,0.423452084,0.72130351
0.980416329,1,0.454060086,0.305878758
0.979987551,1,0.692063075,0.249914719
0.973092877,2,0.356096751,0.770704707
0.982771082,1,0.717908151,0.533845819
0.976903605,3,0.508063528,0.607002166
0.961889829,3,0.862391694,0.43753327
0.977363248,2,0.741337104,0.725249418
0.979484012,0,0.754547123,0.430769292
0.983818604,1,0.424156843,0.368049649
0.973581726,1,0.866417906,0.689774884
0.964500606,3,0.769938728,0.178775754
0.967236458,3,0.804417855,0.646246159
0.983454083,1,0.159129485,0.384725541
0.977952661,1,0.706722121,0.420635465
0.96997521,0,0.127508034,0.455552444
0.966813027,2,0.923149281,0.200810818
0.97344246,1,0.769213266,0.453281181
0.987536008,2,0.424167209,0.79608014
0.985902912,0,0.701529289,0.469455072
0.98013163,1,0.492032968,0.877767726
0.982184631,1,0.665461046,0.691713508
0.965868165,0,0.607741689,0.747446325
0.983919246,1,0.454619504,0.662764474
0.985686569,0,0.634738942,0.621578178
0.96967027,2,0.731227682,0.744424988
0.964836486,1,0.677964478,0.275200189
0.962582961,2,0.616627631,0.800623538
0.989210593,3,0.081405607,0.326380921
0.975558132,2,0.531751102,0.62932436
0.972947342,2,0.286839347,0.303219837
0.981546894,1,0.613523187,0.117877102
0.962052311,1,0.474236516,0.592329333
0.989768091,2,0.534059579,0.496912339
0.981609563,3,0.872449109,0.901267597
0.973275642,4,0.965325661,0.541812484
0.981976639,4,0.630481768,0.816806145
0.968950847,2,0.634185562,0.906325235
0.986379369,2,0.979471025,0.875404757
0.972328189,2,0.865372373,0.854902072
0.976123847,2,0.550016877,0.348423774
0.982351929,1,0.185397475,0.82848449
0.965908461,1,0.505729848,0.574626623
0.978699986,1,0.422326148,0.790036458
0.988976185,4,0.759716949,0.445600276
0.96529303,1,0.894156204,0.940358673
0.960854953,1,0.372257099,0.744994843
0.984646166,1,0.650404425,0.85419046
0.972426543,3,0.810631963,0.953292018
0.967668117,3,0.542072072,0.657278743
0.983821856,2,0.387455841,0.631182001
0.960234755,4,0.4561196,0.688437153
0.981856753,4,0.89562421,0.526805922
0.855414538,2,0.579303874,0.648703118
0.86193534,0,0.30387138,0.323952579
0.837556323,4,0.959932082,0.573915195
0.828618343,0,0.68032169,0.253719883
0.861695307,2,0.5960906,0.508358349
0.873159052,2,0.762210408,0.947011065
0.87046768,2,0.870037203,0.412964827
0.808488894,3,0.582044048,0.6577315
0.89783617,0,0.551588792,0.984009235
0.975436018,1,0.84426826,0.673728517
0.970459213,4,0.896244202,0.722129019
0.972038331,1,0.320917924,0.588049924
0.984686258,1,0.705082852,0.752446669
0.980274353,1,0.456297657,0.813376364
0.974294581,2,0.719429054,0.738520763
0.977727646,2,0.514675077,0.283408323
0.983556395,3,0.598680191,0.45788242
0.978849079,3,0.74610541,0.61221342
0.986716701,0,0.60278866,0.722645231
0.96582319,3,0.636941416,0.681276236
0.968625258,4,0.389729194,0.34254809
0.964920718,4,0.828849895,0.661540163
0.965449563,1,0.739822829,0.504831164
0.97325556,2,0.246040911,0.425724639
0.981293816,0,0.590197829,0.494729637
0.972185275,0,0.608123948,0.60092219
0.974615358,2,0.736979113,0.729868617
0.967586206,3,0.554022514,0.114035497
0.983958964,1,0.650296248,0.641321974
0.859568838,4,0.480739954,0.873922047
0.961522028,2,0.170310024,0.531993967
0.979074518,3,0.421752884,0.59656332
0.967769072,1,0.602879781,0.256043126
0.982933797,4,0.297861217,0.372291485
0.974628797,4,0.916033408,0.547855131
0.96904378,1,0.664090277,0.798190957
0.961282005,0,0.744816301,0.788167706
0.857262444,2,0.659725227,0.33485894
0.965046113,4,0.881495025,0.982691924
0.983482873,2,0.049801138,0.531875554
0.979731339,2,0.704957121,0.802321039
0.977668359,2,0.242581462,0.898464767
0.975618295,1,0.878182991,0.640440171
0.96478919,3,0.672431609,0.974210456
0.988941714,4,0.371619347,0.760728519
0.974892534,3,0.773340701,0.583011954
0.962281251,4,0.487646315,0.423306182
0.973856197,1,0.363761317,0.459509916
0.965200242,4,0.61603957,0.172882005
0.974202159,3,0.984778687,0.576117935
0.975238547,4,0.707679226,0.46049266
0.977901874,1,0.850259165,0.411371351
0.975704396,0,0.700778804,0.962938468
0.886184621,1,0.484630535,0.64138729
0.982691132,3,0.147080273,0.711846198
0.97629398,1,0.510459606,0.734627324
0.973465809,3,0.370586122,0.781883399
0.979472861,3,0.657228535,0.750341153
0.960477116,2,0.632180146,0.502492882
0.983876078,2,0.149149938,0.599859335
0.98273832,0,0.583131126,0.742259268
0.975386099,0,0.915244556,0.906907677
0.965189781,2,0.746702006,0.482973814
0.973692863,1,0.533873791,0.939496495
0.979739407,1,0.165275688,0.790974173
0.976341839,0,0.081412315,0.400462289
0.972065385,3,0.739494238,0.978192145
0.961761073,1,0.746688995,0.468407269
0.986764723,4,0.538895788,0.264813398
0.976007,3,0.419847869,0.838216125
0.979124321,3,0.38691001,0.655407864
0.982487827,2,0.754458479,0.631836192
0.970870495,1,0.492803521,0.624607602
0.938385874,0,0.411550321,0.214370022
0.983664203,2,0.642174255,0.707561499
0.961771271,2,0.61000091,0.437244402
0.987435576,3,0.440419386,0.653773496
0.975387129,0,0.987618397,0.737079402
0.966744395,2,0.423684995,0.74360509
0.9755489,0,0.559819383,0.342233272
0.857419135,3,0.26114705,0.785443809
0.961787575,0,0.498970747,0.343564341
0.960509072,4,0.141753332,0.19587529
0.970506026,0,0.621182695,0.755391133
0.979133747,0,0.179191795,0.812143504
0.967022453,0,0.775665121,0.630617057
0.98188426,4,0.437145865,0.434701473
0.989522769,4,0.184379045,0.13225259
0.963921851,0,0.881292634,0.465856797
0.964659081,3,0.557997079,0.647697152
0.978438864,4,0.611395681,0.628218383
0.985168781,2,0.245525915,0.697078213
0.988670518,1,0.163011643,0.769564436
0.930187399,2,0.574998346,0.625049596
0.9795284,2,0.682192748,0.706180742
0.987168543,3,0.559891841,0.556680381
0.980292163,1,0.972251496,0.37774771
0.963897726,2,0.995761536,0.814842468
0.962197562,4,0.75233437,0.471805726
0.963975043,2,0.676931185,0.753123059
0.977457134,3,0.467274798,0.887502401
0.985586917,3,0.51572321,0.595320644
0.977132894,3,0.734250358,0.859627359
0.989402566,1,0.26579246,0.787274383
0.970975105,2,0.073934356,0.472167656
0.961639622,2,0.535632085,0.902640618
0.96514031,4,0.459303909,0.66671282
0.972995254,0,0.948401526,0.35863827
0.971477373,1,0.30500254,0.602258267
0.965131836,0,0.875877028,0.53009317
0.966305204,4,0.571740573,0.88154414
0.960391582,2,0.51645548,0.993902563
0.977289395,0,0.468376181,0.555126811
0.979204497,4,0.349087656,0.243788587
0.986102249,3,0.798028806,0.546799863
0.968822224,3,0.964173557,0.992804033
0.989021212,0,0.276785039,0.723644418
0.980337582,1,0.391311991,0.278030613
0.969270271,3,0.869892909,0.779978119
0.960514491,4,0.899072094,0.366370161
0.964304614,0,0.944881885,0.484128713
0.974285767,2,0.953963024,0.073588717
0.835182649,3,0.657695118,0.810173086
0.971976569,4,0.202337743,0.801115361
0.987738168,3,0.729444916,0.578384142
0.962676392,2,0.957738395,0.958331441
0.986207792,3,0.860239946,0.633407565
0.962555033,2,0.469265541,0.827776772
0.982624642,0,0.099577872,0.668724121
0.966055101,4,0.825978579,0.861573619
0.986834236,2,0.113820892,0.465581491
0.9698813,3,0.592120953,0.668162079
0.960613455,4,0.606853534,0.573438181
0.981358157,4,0.678347779,0.884087943
0.976981973,1,0.560079206,0.284512003
0.975516377,3,0.358658639,0.997058355
0.96320022,2,0.915683885,0.210732303
0.984082311,3,0.782480356,0.16768976
0.989469085,2,0.853472168,0.813492957
0.852255753,1,0.34482114,0.592738268
0.974966089,4,0.129139732,0.75879499
0.841424572,0,0.410184415,0.630290134
0.971897199,0,0.650927586,0.862463071
0.900308093,0,0.697229492,0.607366217
0.986126646,1,0.927567579,0.598526109
0.961236592,2,0.615980434,0.907595131
0.978594922,2,0.415559001,0.684155587
0.97271212,3,0.718776776,0.66065592
0.98224169,4,0.682069729,0.699959749
0.970203832,4,0.976298519,0.964892592
0.880309823,3,0.700305146,0.496357074
0.974878403,3,0.945626751,0.873045256
0.978189902,1,0.559274146,0.49559603
0.971897249,0,0.900903945,0.213872368
0.975213548,2,0.640364611,0.179654254
0.975152035,0,0.567852495,0.942235452
0.983565021,1,0.751232942,0.742373225
0.988161244,2,0.820849236,0.671772881
0.909020672,1,0.186600003,0.3633121
0.97442546,3,0.627245737,0.912336994
0.981409108,1,0.646076987,0.912045645
0.978802167,4,0.781682332,0.622404537
0.97091237,1,0.4864436,0.313132838
0.988439591,0,0.417453416,0.35804191
0.967778544,4,0.529499275,0.349521774
0.98544763,4,0.752534625,0.515414794
0.980957791,4,0.824621328,0.618027003
0.970929973,0,0.689118603,0.193331703
0.972162257,0,0.542316478,0.643909335
0.972019693,3,0.629880359,0.658245038
0.966425565,0,0.850264731,0.597428081
0.962196228,1,0.472159732,0.354231912
0.986928026,3,0.62446152,0.971865939
0.964080292,1,0.693490886,0.463622186
0.977888887,0,0.143023175,0.542676331
0.943923176,3,0.521144069,0.374714555
0.974711863,1,0.977028636,0.634645066
0.976956816,0,0.899134681,0.464465143
0.977401869,2,0.153688595,0.27129339
